ell=0 m=0 Re=1.692569e+02 Im=0.000000e+00
ell=1 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=1 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=1 m=1 Re=-7.762790e+01 Im=1.198818e+02
ell=2 m=-2 Re=0.000000e+00 Im=0.000000e+00
ell=2 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=2 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=2 m=1 Re=0.000000e+00 Im=0.000000e+00
ell=2 m=2 Re=-3.737350e+01 Im=-8.792686e+01
ell=3 m=-3 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=-2 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=1 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=2 Re=0.000000e+00 Im=0.000000e+00
ell=3 m=3 Re=4.358769e+01 Im=1.539882e+01
ell=4 m=-4 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=-3 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=-2 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=1 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=2 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=3 Re=0.000000e+00 Im=0.000000e+00
ell=4 m=4 Re=-1.602947e+01 Im=-3.799042e+00
ell=5 m=-5 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=-4 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=-3 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=-2 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=1 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=2 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=3 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=4 Re=0.000000e+00 Im=0.000000e+00
ell=5 m=5 Re=1.732789e+01 Im=8.608115e+00
ell=6 m=-6 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=-5 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=-4 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=-3 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=-2 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=-1 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=0 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=1 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=2 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=3 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=4 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=5 Re=0.000000e+00 Im=0.000000e+00
ell=6 m=6 Re=-2.154760e+01 Im=2.165508e+00
