l=0, m=0, Re=5.192736e-01, Im=0.000000e+00
l=1, m=-1, Re=-1.000522e-02, Im=1.528036e-02
l=1, m=0, Re=6.274063e-01, Im=0.000000e+00
l=1, m=1, Re=1.000522e-02, Im=1.528036e-02
l=2, m=-2, Re=5.579139e-03, Im=3.809985e-02
l=2, m=-1, Re=-8.688602e-03, Im=2.210898e-02
l=2, m=0, Re=4.148383e-01, Im=0.000000e+00
l=2, m=1, Re=8.688602e-03, Im=2.210898e-02
l=2, m=2, Re=5.579139e-03, Im=-3.809985e-02
l=3, m=-3, Re=7.419156e-03, Im=4.721083e-03
l=3, m=-2, Re=-2.834961e-03, Im=4.374660e-02
l=3, m=-1, Re=1.210157e-03, Im=2.721343e-02
l=3, m=0, Re=2.639408e-01, Im=0.000000e+00
l=3, m=1, Re=-1.210157e-03, Im=2.721343e-02
l=3, m=2, Re=-2.834961e-03, Im=-4.374660e-02
l=3, m=3, Re=-7.419156e-03, Im=4.721083e-03
l=4, m=-4, Re=1.884721e-02, Im=4.465877e-03
l=4, m=-3, Re=-8.403141e-03, Im=7.024351e-03
l=4, m=-2, Re=-1.920681e-02, Im=2.912907e-02
l=4, m=-1, Re=1.374057e-02, Im=3.823870e-02
l=4, m=0, Re=2.693153e-01, Im=0.000000e+00
l=4, m=1, Re=-1.374057e-02, Im=3.823870e-02
l=4, m=2, Re=-1.920681e-02, Im=-2.912907e-02
l=4, m=3, Re=8.403141e-03, Im=7.024351e-03
l=4, m=4, Re=1.884721e-02, Im=-4.465877e-03
