name,utc,mjd,ra,dec,dm,snr,width,fluence,z_est
FRB20180725A,2018-07-25 00:00:00,58324,93.42,67.07,715.8093,33.2,0.00295,4.1,0.7158093
FRB20180727A,2018-07-27 00:00:00,58326,197.72,26.42,642.134,12.2,0.00295,2.31,0.642134
FRB20180729A,2018-07-29 00:00:00,58328,199.4,55.58,109.59418,206.6,0.00098,17.0,0.10959418
FRB20180729B,2018-07-29 00:00:00,58328,89.93,56.5,317.2235,22.0,0.00197,1.2,0.3172235
FRB20180730A,2018-07-30 00:00:00,58329,57.39,87.19,848.9041,89.8,0.00492,27.0,0.8489040999999999
FRB20180801A,2018-08-01 00:00:00,58331,322.53,72.72,655.728,40.9,0.00983,7.9,0.655728
FRB20180806A,2018-08-06 00:00:00,58336,228.56,75.62,739.9482,14.4,0.00295,7.6,0.7399482000000001
FRB20180810A,2018-08-10 00:00:00,58340,101.47,34.86,414.8804,16.5,0.00197,1.7,0.4148804
FRB20180810B,2018-08-10 00:00:00,58340,180.41,83.14,169.1385,55.1,0.00098,7.9,0.1691385
FRB20180812A,2018-08-12 00:00:00,58342,19.33,80.78,802.451,20.5,0.00786,5.4,0.802451
FRB20180814B,2018-08-14 00:00:00,58344,238.26,74.02,238.3474,24.4,0.0059,10.6,0.2383474
FRB20180814B,2018-08-14 00:00:00,58344,238.26,74.02,238.3474,24.4,0.0059,10.6,0.2383474
FRB20180814A,2018-08-14 00:00:00,58344,65.54,73.63,189.286,22.1,0.00786,2.6,0.189286
FRB20180817A,2018-08-17 00:00:00,58347,233.2,42.2,1006.7714,65.1,0.01769,29.0,1.0067713999999999
FRB20180904A,2018-09-04 00:00:00,58365,286.58,81.22,361.13741,74.6,0.00197,6.0,0.36113741
FRB20180906A,2018-09-06 00:00:00,58367,141.48,14.29,383.456,10.9,0.00098,2.7,0.383456
FRB20180906B,2018-09-06 00:00:00,58367,185.75,56.42,3038.058,17.9,0.0059,1.5,3.038058
FRB20180907D,2018-09-07 00:00:00,58368,328.95,89.22,1447.098,13.8,0.0059,4.9,1.447098
FRB20180907A,2018-09-07 00:00:00,58368,320.87,29.46,877.24,25.4,0.0059,2.8,0.87724
FRB20180907B,2018-09-07 00:00:00,58368,4.49,19.17,658.1899,19.3,0.00295,2.9,0.6581899
FRB20180907C,2018-09-07 00:00:00,58368,41.72,77.07,638.1999,17.1,0.00197,1.48,0.6381998999999999
FRB20180907E,2018-09-07 00:00:00,58368,167.88,47.09,383.36,20.3,0.0118,6.9,0.38336000000000003
FRB20180908B,2018-09-08 00:00:00,58369,188.22,74.19,195.2393,30.2,0.00786,5.0,0.19523929999999998
FRB20180909A,2018-09-09 00:00:00,58370,123.63,56.76,408.647,13.9,0.01966,1.02,0.408647
FRB20180910A,2018-09-10 00:00:00,58371,352.77,88.21,684.4081,50.4,0.00098,5.6,0.6844081
FRB20180911C,2018-09-11 00:00:00,58372,65.54,73.63,189.84,23.3,0.00688,6.2,0.18984
FRB20180911A,2018-09-11 00:00:00,58372,99.55,84.62,221.254,26.8,0.00197,2.6,0.22125399999999998
FRB20180915A,2018-09-15 00:00:00,58376,280.55,17.91,371.029,16.3,0.00492,6.2,0.371029
FRB20180915B,2018-09-15 00:00:00,58376,225.23,25.02,177.127,36.1,0.00492,3.8,0.177127
FRB20180916A,2018-09-16 00:00:00,58377,348.97,80.33,296.0275,32.5,0.00098,4.5,0.2960275
FRB20180916B,2018-09-16 00:00:00,58377,29.5031258,65.7167542,349.3491,36.7,0.00393,6.1,0.3493491
FRB20180916C,2018-09-16 00:00:00,58377,107.15,45.08,2252.873,15.6,0.00983,2.1,2.252873
FRB20180917B,2018-09-17 00:00:00,58378,238.8,77.53,857.038,24.3,0.01966,8.3,0.857038
FRB20180917A,2018-09-17 00:00:00,58378,65.54,73.63,189.917,46.6,0.06095,46.0,0.189917
FRB20180917A,2018-09-17 00:00:00,58378,65.54,73.63,189.917,46.6,0.06095,46.0,0.189917
FRB20180917A,2018-09-17 00:00:00,58378,65.54,73.63,189.917,46.6,0.06095,46.0,0.189917
FRB20180918A,2018-09-18 00:00:00,58379,301.27,64.96,1453.9882,24.4,0.00295,4.1,1.4539882
FRB20180919B,2018-09-19 00:00:00,58380,5.34,5.94,560.2214,18.8,0.00098,3.0,0.5602214
FRB20180919A,2018-09-19 00:00:00,58380,65.54,73.63,188.85,14.6,0.02163,3.1,0.18885
FRB20180920A,2018-09-20 00:00:00,58381,78.89,28.29,555.66,20.2,0.01475,8.5,0.5556599999999999
FRB20180920B,2018-09-20 00:00:00,58381,191.09,63.52,463.4,15.8,0.01081,1.7,0.4634
FRB20180921A,2018-09-21 00:00:00,58382,28.92,5.05,394.372,11.1,0.00393,2.3,0.394372
