event_id,utc,ra,dec,energy_tev,signalness,notice_type,mjd,z_est
132707_54984442_rev0,2019-06-19 13:14:18.040000+00:00,342.7772,10.0547,198.7,0.54551,GOLD,58653.5515976852,
132707_54984442_rev1,2019-06-19 13:14:18.040000+00:00,343.2599,10.73,198.7,0.54551,GOLD,58653.5515976852,
132768_5390846_rev1,2019-06-29 19:24:15.120000+00:00,27.2199,84.3299,107.67,0.33892,BRONZE,58663.808508333335,
132768_5390846_rev0,2019-06-29 19:24:15.120000+00:00,25.6392,84.5382,107.67,0.33892,BRONZE,58663.808508333335,
132792_60166398_rev1,2019-07-04 18:48:52.250000+00:00,161.8499,27.1099,154.99,0.48607,BRONZE,58668.783938078705,
132792_60166398_rev0,2019-07-04 18:48:52.250000+00:00,161.408,27.419,154.99,0.48607,BRONZE,58668.783938078705,
132814_44222682_rev1,2019-07-12 01:15:17.380000+00:00,76.4599,13.06,108.67,0.30332,BRONZE,58676.05228449074,
132814_44222682_rev0,2019-07-12 01:15:17.380000+00:00,78.8869,12.4438,108.67,0.30332,BRONZE,58676.05228449074,
132910_57145925_rev0,2019-07-30 20:50:41.310000+00:00,226.8302,10.5078,298.81,0.67158,GOLD,58694.86853368056,
132910_57145925_rev1,2019-07-30 20:50:41.310000+00:00,225.7899,10.47,298.81,0.67158,GOLD,58694.86853368056,
132974_67924813_rev0,2019-08-19 17:34:24.230000+00:00,148.807,0.9571,113.16,0.29215,BRONZE,58714.732224884254,
133091_81419_rev0,2019-09-22 09:42:45.620000+00:00,166.9361,-24.5066,3113.9,0.20165,GOLD,58748.404694675926,
133091_81419_rev1,2019-09-22 09:42:45.620000+00:00,167.43,-22.39,3113.9,0.20165,GOLD,58748.404694675926,
133092_52499868_rev0,2019-09-22 23:03:55.560000+00:00,6.0049,-1.4881,187.37,0.50501,GOLD,58748.96105972221,
133092_52499868_rev1,2019-09-22 23:03:55.560000+00:00,5.7599,-1.57,187.37,0.50501,GOLD,58748.96105972221,
133119_22683750_rev0,2019-10-01 20:09:18.170000+00:00,314.355,12.5755,217.42,0.58898,GOLD,58757.83979363426,
133119_22683750_rev1,2019-10-01 20:09:18.170000+00:00,314.0799,12.9399,217.42,0.58898,GOLD,58757.83979363426,
133331_47828126_rev0,2019-11-19 01:01:29.380000+00:00,228.668,3.35,176.48,0.44999,GOLD,58806.04270115741,
133331_47828126_rev1,2019-11-19 01:01:29.380000+00:00,230.0999,2.1699,176.48,0.44999,GOLD,58806.04270115741,
133331_47828126_rev2,2019-11-19 01:01:29.380000+00:00,230.0999,3.1699,176.48,0.44999,GOLD,58806.04270115741,
133348_80807014_rev0,2019-11-22 22:45:10.490000+00:00,28.2526,0.0747,128.44,0.33128,BRONZE,58809.94803807871,
133348_80807014_rev1,2019-11-22 22:45:10.490000+00:00,27.25,-0.04,128.44,0.33128,BRONZE,58809.94803807871,
